,weekday_name,month,century,century_year,leap_year_condition,predicted_days_group_index,correct_output
127881,2,7,3,6.3,0,9,5
7000,3,6,1,8.3,0,9,8
95383,3,10,3,4.6,0,8,5
86368,4,12,1,5.3,0,8,3
98469,4,6,2,2.4,1,9,6
16474,1,6,0,3.3,0,9,3
69343,2,5,3,7.1,0,9,7
123002,3,7,2,9.6,1,9,4
146378,4,12,3,1.7,0,8,9
57581,6,12,2,3.8,0,8,4
50038,4,5,3,1.4,0,9,3
71094,0,10,1,1.7,0,8,7
72978,3,2,3,9.7,0,0,1
130542,1,2,2,1.7,0,0,6
109628,6,10,1,5.5,0,8,8
17486,1,8,2,4.3,0,9,3
32432,3,9,3,5.2,1,8,6
144129,0,3,0,7.3,0,9,9
100399,0,11,1,4.9,0,8,6
29765,5,3,0,9.1,0,9,6
131485,4,4,3,5.8,0,2,6
58076,6,1,3,3.2,1,9,5
51286,5,8,3,5.9,0,9,3
90547,0,10,3,2.2,0,8,4
6001,4,3,3,8.7,0,9,8
95850,4,12,0,1.1,0,8,5
104081,0,8,2,2.2,0,9,7
101782,1,2,3,2.9,0,0,0
29851,0,3,1,7.7,0,9,6
13242,1,10,0,0.9,0,8,9
70719,2,9,1,4.3,0,9,7
86096,2,11,2,8.2,0,8,3
61708,0,10,3,5.5,0,8,5
39439,6,3,1,4.1,0,9,8
92661,1,4,0,3.0,0,2,5
91813,3,1,3,8.5,0,9,5
56043,1,8,3,0.4,1,9,4
85621,5,10,2,0.8,1,8,3
143749,2,1,0,9.4,0,9,9
4110,3,11,1,0.0,0,8,7
103417,6,6,3,6.0,1,9,7
98441,4,6,1,9.6,1,9,6
114328,1,10,0,4.3,0,8,9
138310,1,10,2,6.9,0,8,7
104905,5,10,2,4.4,1,8,7
14605,5,1,1,6.9,0,9,3
18297,4,10,2,5.2,1,8,3
11965,6,6,3,3.6,1,9,2
10362,6,2,3,3.7,0,0,2
51684,5,9,3,5.6,1,9,3
142928,1,11,0,7.5,0,8,8
111792,5,3,3,1.4,0,9,9
127547,0,7,0,2.9,0,9,5
93604,6,6,1,7.1,0,9,5
58131,5,1,3,8.7,0,9,5
65888,6,9,1,2.4,1,8,6
10546,2,3,1,2.0,1,9,9
135488,6,3,2,5.4,0,9,7
130036,6,1,1,1.2,1,9,6
93588,0,6,1,5.5,0,9,5
138843,0,12,0,0.0,0,8,7
74274,6,6,0,8.9,0,9,8
124681,1,11,3,7.1,0,8,4
111966,6,4,0,8.7,0,2,2
87341,5,2,3,2.4,1,0,4
145880,5,10,2,2.0,1,8,9
31111,2,6,2,3.4,0,9,6
74250,4,6,0,6.5,0,9,8
5429,1,2,2,1.6,1,0,1
98892,5,7,2,4.6,0,9,6
131722,5,5,1,9.4,0,9,6
105007,5,10,3,4.6,0,8,7
95814,2,11,3,7.6,1,8,5
55234,2,6,2,9.7,0,9,4
93107,3,5,0,7.5,0,9,5
108900,3,8,2,2.9,0,9,8
112031,3,4,1,5.2,1,2,2
81858,2,1,0,5.4,0,9,3
14847,6,2,0,1.0,0,0,3
135714,1,4,0,7.9,0,2,7
76341,4,11,1,5.1,0,8,8
126753,5,5,0,3.7,0,9,5
111784,2,3,3,0.6,0,9,9
3584,6,9,3,7.6,1,9,7
126618,4,4,3,0.3,0,2,5
116148,1,2,2,5.9,0,0,3
123209,1,8,1,0.2,0,9,4
91406,6,12,3,7.9,0,8,4
56593,1,10,0,5.2,1,8,4
122511,0,6,2,0.6,0,9,4
12332,0,7,3,0.2,0,9,9
3794,1,10,1,8.5,0,8,7
124075,2,10,1,6.6,0,8,4
56746,2,10,2,0.5,0,8,4
24900,1,3,0,3.8,0,9,5
47498,0,11,1,8.0,1,8,2
105056,3,10,3,9.5,0,8,7
60742,1,8,1,9.1,0,9,5
34869,5,3,3,8.3,0,9,7
19911,6,2,2,6.2,0,0,4
6182,6,4,1,6.7,0,2,8
21806,5,7,1,5.2,1,9,4
28439,0,11,3,6.9,0,8,5
142368,3,9,3,1.7,0,9,8
55748,5,8,0,0.9,0,9,4
117621,0,6,1,2.8,1,9,3
88342,4,5,1,2.2,0,9,4
145210,0,7,3,5.2,1,9,9
96460,1,1,2,2.0,1,9,6
68345,5,3,1,7.5,0,9,7
72438,2,1,2,5.8,0,9,8
81267,1,11,2,6.5,0,8,2
98912,2,7,2,6.6,0,9,6
105040,4,10,3,7.9,0,8,7
75151,6,8,1,6.4,1,9,8
39272,3,2,3,7.5,0,0,1
22140,2,8,0,8.5,0,9,4
43031,1,12,1,2.4,1,8,8
27679,5,10,0,1.0,0,8,5
111204,3,2,1,2.7,0,0,2
130704,6,2,3,7.9,0,0,6
88692,0,6,0,7.1,0,9,4
6360,4,4,3,4.5,0,2,8
140839,2,5,3,9.2,1,9,8
27394,0,9,1,2.6,0,9,5
108113,3,6,2,4.4,1,9,8
36683,5,8,1,9.2,1,9,7
42686,6,11,1,8.0,1,8,8
139004,4,12,1,6.1,0,8,7
144654,5,5,1,9.7,0,9,9
81435,0,12,0,3.2,1,8,9
33251,1,11,3,6.9,0,8,6
33429,5,12,1,4.6,0,8,6
48207,1,1,0,8.7,0,9,3
87954,4,4,1,3.5,0,2,4
104953,2,10,2,9.2,1,8,7
26990,0,8,1,2.3,0,9,5
88788,0,6,1,6.7,0,9,4
107303,2,4,2,3.6,1,2,8
31376,3,7,0,9.8,0,9,6
92364,1,3,1,3.4,0,9,5
7677,0,8,0,5.8,0,9,8
67796,3,2,0,2.7,0,0,0
14612,6,1,1,7.6,1,9,3
27483,6,9,2,1.5,0,9,5
27240,4,8,3,7.3,0,9,5
113176,1,7,0,9.4,0,9,9
48206,0,1,0,8.6,0,9,3
115650,3,1,1,6.2,0,9,3
41440,0,8,1,3.7,0,9,8
49323,4,4,0,0.0,0,2,3
72539,1,1,3,5.9,0,9,8
30700,1,5,2,2.4,1,9,6
51310,0,8,3,8.3,0,9,3
37287,1,9,3,9.5,0,9,7
45581,6,6,2,6.8,1,9,2
144690,1,5,2,3.3,0,9,9
22452,5,8,3,9.7,0,9,4
54795,0,5,2,5.9,0,9,4
21161,6,5,3,0.9,0,9,4
133715,3,10,1,8.2,0,8,6
140632,3,5,1,8.5,0,9,8
133553,5,10,0,2.0,1,8,6
101799,1,2,3,4.6,0,0,0
57988,2,1,2,4.4,1,9,5
17653,0,9,0,0.9,0,9,3
87708,6,3,2,9.0,0,9,4
26477,5,7,0,1.1,0,9,5
39299,0,3,0,0.1,0,9,8
139077,4,12,2,3.4,0,8,7
38025,3,11,3,3.1,0,8,7
2709,6,7,3,0.3,0,9,7
585,2,2,1,8.4,1,0,7
136146,6,5,1,1.0,0,9,7
75589,6,9,2,0.1,0,9,8
7511,3,7,2,9.3,0,9,8
7980,6,8,3,6.1,0,9,8
49024,1,3,1,0.2,0,9,3
47437,0,11,1,1.9,0,8,2
81289,0,11,2,8.7,0,8,2
10201,1,2,1,7.6,1,0,2
112866,0,6,1,8.5,0,9,2
114854,6,11,1,6.8,1,8,2
40865,5,6,3,6.4,1,9,8
104670,6,10,0,0.9,0,8,7
46930,6,10,0,1.3,0,8,9
24993,4,3,1,3.1,0,9,5
24919,4,3,0,5.7,0,9,5
11152,1,4,3,2.5,0,2,2
120081,5,12,1,8.2,0,8,3
2430,3,7,0,2.4,1,9,7
75897,4,10,1,0.8,1,8,8
107501,3,5,0,3.3,0,9,8
139877,1,3,2,3.2,1,9,8
83999,0,6,1,9.0,0,9,3
143745,4,1,0,9.0,0,9,9
59521,6,5,1,7.3,0,9,5
25020,3,3,1,5.8,0,9,5
69937,0,7,1,6.3,0,9,7
97882,0,5,0,3.8,0,9,6
29788,5,3,1,1.4,0,9,6
98277,3,6,0,3.2,1,9,6
49022,6,3,1,0.0,0,9,3
74305,2,6,1,2.0,1,9,8
56416,5,9,2,7.6,1,9,4
85894,3,11,0,8.0,1,8,3
31056,3,6,1,7.9,0,9,6
40064,1,4,3,6.5,0,2,8
89985,1,9,1,6.1,0,9,4
112986,2,6,3,0.5,0,9,2
20424,5,3,3,7.4,0,9,4
18312,1,10,2,6.7,0,8,3
34763,0,3,2,7.7,0,9,7
93118,3,5,0,8.6,0,9,5
122329,5,6,0,2.4,1,9,4
82809,1,3,2,0.3,0,9,3
125503,3,1,3,9.1,0,9,5
117300,6,5,2,0.8,1,9,3
74206,5,6,0,2.1,0,9,8
129023,4,10,3,0.2,0,8,5
104134,3,8,2,7.5,0,9,7
133570,5,10,0,3.7,0,8,6
96579,2,1,3,3.9,0,9,6
38344,2,12,2,4.9,0,8,7
643,5,2,2,4.2,0,0,0
48483,1,1,3,6.3,0,9,3
118100,1,7,2,0.6,0,9,3
101554,4,2,1,0.1,0,0,0
61306,4,9,3,5.4,0,9,5
81277,6,11,2,7.5,0,8,2
64786,5,6,2,2.5,0,9,6
19234,1,12,3,8.7,0,8,3
140155,4,4,1,0.9,0,2,8
20373,4,3,3,2.3,0,9,4
16174,4,5,1,3.4,0,9,3
81162,3,11,1,6.0,1,8,2
82729,6,3,1,2.3,0,9,3
68034,6,2,2,6.5,0,0,0
9879,6,1,2,5.5,0,9,9
130204,6,1,2,8.0,1,9,6
139627,3,1,3,8.3,0,9,8
43422,5,1,1,1.4,0,9,9
125190,6,1,0,7.8,0,9,5
46584,3,9,0,6.8,1,8,2
41105,2,7,2,0.3,0,9,8
55823,1,8,0,8.4,1,9,4
112067,6,4,1,8.8,1,2,2
37279,5,9,3,8.7,0,9,7
9139,1,11,3,1.7,0,8,8
20774,0,4,3,2.3,0,2,4
53793,5,3,0,5.9,0,9,4
54360,5,4,2,2.5,0,2,4
2134,5,6,1,2.9,0,9,7
136742,0,6,3,0.5,0,9,7
87860,0,4,0,4.1,0,2,4
19739,2,2,0,9.0,0,0,4
89584,5,8,1,6.1,0,9,4
28077,4,11,0,0.7,0,8,5
123419,4,8,3,1.2,1,9,4
118712,2,9,0,1.6,1,8,3
22349,3,8,2,9.4,0,9,4
61107,1,9,1,5.5,0,9,5
90049,4,9,2,2.5,0,9,4
33477,2,12,1,9.4,0,8,6
22643,5,9,1,8.7,0,9,4
134902,5,1,1,6.6,0,9,7
25153,1,3,2,9.1,0,9,5
45608,4,6,2,9.5,0,9,2
36502,3,8,0,1.1,0,9,7
1242,0,4,0,3.9,0,2,7
57014,1,11,0,7.2,1,8,4
123846,4,9,3,3.8,0,9,4
126914,2,5,1,9.8,0,9,5
50427,6,6,3,0.2,0,9,3
80640,3,10,0,3.9,0,8,9
57532,1,12,1,8.9,0,8,4
13558,2,10,3,2.5,0,8,9
79516,2,7,1,1.8,0,9,9
91373,0,12,3,4.6,0,8,4
42596,6,11,0,9.0,0,8,8
5501,0,2,2,8.8,1,0,1
113977,6,9,0,9.3,0,9,2
117991,6,7,0,9.7,0,9,3
141301,4,7,0,5.2,1,9,8
11436,5,5,2,0.8,1,9,9
79807,2,8,0,0.8,1,9,9
112178,4,4,2,9.9,0,2,2
61467,1,10,1,1.4,0,8,5
65958,2,9,1,9.4,0,9,6
78559,1,4,3,6.4,1,2,2
67921,4,2,1,5.2,1,0,7
23257,6,10,4,0.0,0,8,4
98281,1,6,0,3.6,1,9,6
35616,5,5,3,2.8,1,9,7
37698,3,11,0,0.4,1,8,7
83906,4,6,0,9.7,0,9,3
51263,5,8,3,3.6,1,9,3
119039,2,9,3,4.3,0,9,3
125993,3,3,0,7.9,0,9,5
111587,2,3,1,0.9,0,9,9
74877,0,7,2,9.1,0,9,8
43528,4,1,2,2.0,1,9,9
59214,2,4,2,6.7,0,2,5
78281,5,4,0,8.6,0,2,2
46123,2,8,0,0.8,1,9,9
99053,3,8,0,0.6,0,9,6
110127,6,11,2,5.3,0,8,8
3329,3,9,1,2.1,0,9,7
57332,4,11,3,9.0,0,8,4
108972,1,8,3,0.1,0,9,8
130736,2,3,0,1.0,0,9,6
95115,6,10,0,7.8,0,8,5
143025,3,11,1,7.2,1,8,8
53125,1,1,1,9.3,0,9,4
61256,5,9,3,0.4,1,8,5
128057,5,8,1,3.8,0,9,5
97461,1,4,0,1.8,0,2,6
41391,3,8,0,8.8,1,9,8
141859,6,8,2,0.9,0,9,8
20896,6,5,0,4.4,1,9,4
26259,0,6,1,9.4,0,9,5
24879,3,3,0,1.7,0,9,5
40431,2,5,3,3.1,0,9,8
25496,2,4,2,3.3,0,2,5
85488,0,10,0,7.5,0,8,3
109543,6,10,0,7.0,0,8,8
120424,5,1,1,2.4,1,9,4
4919,2,1,1,0.7,0,9,8
101836,5,2,3,8.3,0,0,0
20897,0,5,0,4.5,0,9,4
119495,3,10,3,9.8,0,8,3
111915,6,4,0,3.6,1,2,2
40701,4,6,2,0.0,1,9,8
131109,4,3,3,8.3,0,9,6
26909,5,8,0,4.2,0,9,5
80008,0,8,2,0.9,0,9,9
141754,1,8,1,0.4,1,9,8
107519,4,5,0,5.1,0,9,8
74523,0,6,3,3.8,0,9,8
131798,2,5,2,7.0,0,9,6
105347,3,11,2,8.5,0,8,7
12510,6,8,0,7.9,0,9,9
48370,1,1,2,5.0,0,9,3
89894,0,9,0,7.0,0,9,4
87456,0,3,0,3.8,0,9,4
133546,3,10,0,1.3,0,8,6
101704,2,2,2,5.1,0,0,0
52791,5,12,2,6.0,1,8,3
64282,6,5,1,2.2,0,9,6
78640,4,5,0,4.4,1,9,9
88552,0,5,3,3.2,1,9,4
97428,1,3,3,8.6,0,9,6
634,1,2,2,3.3,0,0,0
35831,0,6,1,4.2,0,9,7
41125,6,7,2,2.3,0,9,8
108999,0,8,3,2.8,1,9,8
96385,6,1,1,4.5,0,9,6
108532,6,7,2,6.2,0,9,8
100082,4,10,2,3.3,0,8,6
13762,5,11,1,2.8,1,8,2
90692,0,11,0,6.6,0,8,4
6269,3,4,2,5.4,0,2,8
39476,3,3,1,7.8,0,9,8
25570,2,4,3,0.7,0,2,5
103764,3,7,3,0.6,0,9,7
140380,4,4,3,3.4,0,2,8
32151,3,9,0,7.1,0,9,6
23122,0,10,2,6.5,0,8,4
111557,0,3,0,7.9,0,9,9
26942,4,8,0,7.5,0,9,5
132688,4,7,3,5.8,0,9,6
18244,0,10,1,9.9,0,8,3
94789,6,9,1,5.3,0,9,5
83596,2,5,1,8.8,1,9,3
124098,3,10,1,8.9,0,8,4
63615,2,3,2,5.7,0,9,6
133644,5,10,1,1.1,0,8,6
30321,5,4,2,4.6,0,2,6
102271,0,4,0,1.6,1,2,7
120008,5,12,1,0.9,0,8,3
104152,5,8,2,9.3,0,9,7
84141,2,6,3,3.2,1,9,3
95898,1,12,0,5.9,0,8,5
6744,6,5,3,2.8,1,9,8
74851,3,7,2,6.5,0,9,8
146320,2,12,2,5.9,0,8,9
37079,1,9,1,8.7,0,9,7
58043,1,1,2,9.9,0,9,5
5333,0,2,1,2.0,1,0,1
45377,4,6,0,6.4,1,9,2
91880,3,2,0,5.1,0,0,5
31591,4,7,3,1.3,0,9,6
75079,1,8,0,9.2,1,9,8
12638,4,8,2,0.7,0,9,9
6895,6,6,0,7.8,0,9,8
15170,2,2,3,3.3,0,0,3
15713,5,4,0,7.4,0,2,3
26220,0,6,1,5.5,0,9,5
33257,1,11,3,7.5,0,8,6
135795,4,4,1,6.0,1,2,7
29394,0,2,1,2.1,0,0,6
88225,6,5,0,0.5,0,9,4
48145,1,1,0,2.5,0,9,3
110415,0,12,1,4.0,1,8,8
50553,2,7,0,2.7,0,9,3
4167,4,11,1,5.7,0,8,7
77159,1,1,1,6.7,0,9,9
49504,5,4,1,8.1,0,2,3
106110,1,1,2,4.6,0,9,8
48269,1,1,1,4.9,0,9,3
27214,6,8,3,4.7,0,9,5
60836,0,8,2,8.5,0,9,5
5191,5,1,3,7.9,0,9,8
12560,5,8,1,2.9,0,9,9
50223,5,6,0,9.8,0,9,3
10390,6,2,3,6.5,0,0,2
25142,2,3,2,8.0,1,9,5
104301,2,9,0,4.1,0,9,7
20216,5,3,1,6.6,0,9,4
120992,0,2,2,9.1,0,0,4
14375,5,12,3,4.0,1,8,9
131410,2,4,2,8.3,0,2,6
81150,2,11,1,4.8,1,8,2
64718,4,6,1,5.7,0,9,6
112730,6,6,0,4.9,0,9,2
23204,3,10,3,4.7,0,8,4
142807,3,10,3,5.5,0,8,8
124168,6,10,2,5.9,0,8,4
114243,0,9,3,5.9,0,9,2
83521,6,5,1,1.3,0,9,3
79072,3,6,0,7.5,0,9,2
111726,1,3,2,4.8,1,9,9
3565,3,9,3,5.7,0,9,7
45919,6,7,2,0.5,0,9,9
70614,5,9,0,3.8,0,9,7
61120,4,9,1,6.8,1,8,5
15501,6,3,2,6.3,0,9,3
89968,1,9,1,4.4,1,8,4
114064,2,9,1,8.0,1,8,2
60559,5,8,0,0.8,1,9,5
85384,4,9,3,7.2,1,9,3
100035,1,10,1,8.6,0,8,6
128919,1,10,1,9.8,0,8,5
95561,1,11,1,2.3,0,8,5
97643,4,4,2,0.0,1,2,6
125374,4,1,2,6.2,0,9,5
121044,1,2,3,4.3,0,0,4
29447,3,2,1,7.4,0,0,6
13136,2,9,3,0.4,1,8,2
32580,5,10,0,9.9,0,8,6
97444,1,4,0,0.1,0,2,6
84328,3,7,1,1.8,0,9,3
43315,5,1,0,0.7,0,9,9
133084,1,8,3,5.3,0,9,6
100784,3,12,1,3.3,0,8,6
91268,3,12,2,4.1,0,8,4
14926,0,2,0,8.9,0,0,3
73731,1,4,3,4.8,1,2,8
126915,3,5,1,9.9,0,9,5
34832,1,3,3,4.6,0,9,7
31925,1,8,2,4.6,0,9,6
109258,1,9,1,8.6,0,9,8
132058,4,6,1,2.9,0,9,6
64111,4,4,3,5.2,1,2,6
58381,2,2,2,3.6,1,0,5
25458,3,4,1,9.5,0,2,5
143501,0,12,2,4.7,0,8,8
38593,5,1,0,9.7,0,9,8
37513,3,10,2,2.0,1,8,7
112379,2,5,0,9.9,0,9,9
102430,1,4,1,7.5,0,2,7
131455,2,4,3,2.8,1,2,6
125244,2,1,1,3.2,1,9,5
112970,4,6,2,8.9,0,9,2
102366,5,4,1,1.1,0,2,7
11194,4,4,3,6.7,0,2,2
121945,2,5,0,4.1,0,9,4
60714,1,8,1,6.3,0,9,5
10435,4,3,0,0.9,0,9,9
92256,0,3,0,2.6,0,9,5
22379,5,8,3,2.4,1,9,4
137643,3,9,0,0.3,0,9,7
116439,4,3,1,4.9,0,9,3
28116,4,11,0,4.6,0,8,5
49528,0,4,2,0.5,0,2,3
48415,1,1,2,9.5,0,9,3
90748,6,11,1,2.2,0,8,4
79053,1,6,0,5.6,1,9,2
86356,3,12,1,4.1,0,8,3
123615,3,9,1,0.7,0,9,4
103289,1,6,2,3.2,1,9,7
72871,3,2,2,9.0,0,0,1
64301,2,5,1,4.1,0,9,6
13773,4,11,1,3.9,0,8,2
141467,0,7,2,1.8,0,9,8
69920,0,7,1,4.6,0,9,7
80983,3,10,3,8.2,0,8,9
21842,1,7,1,8.8,1,9,4
26018,0,5,3,5.4,0,9,5
14303,0,12,2,6.8,1,8,9
89045,5,7,0,2.3,0,9,4
104986,0,10,3,2.5,0,8,7
29614,1,2,3,4.1,0,0,6
50045,6,5,3,2.1,0,9,3
63084,0,2,1,2.7,0,0,6
52618,6,12,0,8.7,0,8,3
8938,3,11,1,1.6,1,8,8
67616,2,1,2,4.8,1,9,7
48041,3,12,3,2.2,0,8,9
50543,4,7,0,1.7,0,9,3
104424,1,9,1,6.4,1,8,7
47860,2,12,1,4.1,0,8,9
56921,3,10,3,8.0,1,8,4
143616,3,12,3,6.2,0,8,8
111049,6,1,3,7.3,0,9,9
56521,2,9,3,8.1,0,9,4
42931,3,12,0,2.4,1,8,8
66529,6,10,3,6.4,1,8,6
124290,4,10,3,8.1,0,8,4
95690,2,11,2,5.2,1,8,5
60788,3,8,2,3.7,0,9,5
64094,3,4,3,3.5,0,2,6
72933,2,2,3,5.2,1,0,1
123740,6,9,2,3.2,1,8,4
142967,0,11,1,1.4,0,8,8
68851,0,4,2,8.0,1,2,7
136666,4,6,2,2.9,0,9,7
57001,5,11,0,5.9,0,8,4
75133,4,8,1,4.6,0,9,8
36621,4,8,1,3.0,0,9,7
68514,6,3,3,4.4,1,9,7
61852,6,11,0,9.8,0,8,5
139007,1,12,1,6.4,1,8,7
121717,5,4,2,1.4,0,2,4
40177,2,5,0,7.7,0,9,8
86413,4,12,1,9.8,0,8,3
56461,4,9,3,2.1,0,9,4
83799,2,5,3,9.1,0,9,3
110463,4,12,1,8.8,1,8,8
52048,2,10,3,1.9,0,8,3
78523,5,4,3,2.8,1,2,2
36186,2,7,0,9.6,1,9,7
65446,1,8,0,8.3,0,9,6
104604,1,9,3,4.4,1,8,7
120042,5,12,1,4.3,0,8,3
45424,5,6,1,1.1,0,9,2
63325,6,2,3,6.8,1,0,6
104039,4,8,1,8.0,1,9,7
33149,0,11,2,6.7,0,8,6
14539,6,1,1,0.3,0,9,3
79487,2,7,0,8.9,0,9,9
75381,5,8,3,9.4,0,9,8
96303,2,1,0,6.3,0,9,6
26525,2,7,0,5.9,0,9,5
111103,4,2,0,2.6,0,0,2
36336,6,7,2,4.6,0,9,7
39828,1,4,1,2.9,0,2,8
30485,6,5,0,0.9,0,9,6
118514,6,8,2,1.9,0,9,3
143250,3,11,3,9.7,0,8,8
102261,1,4,0,0.6,0,2,7
106574,5,2,3,0.9,0,0,1
19269,4,1,0,2.1,0,9,4
15084,0,2,2,4.7,0,0,3
80862,0,10,2,6.1,0,8,9
144025,2,1,3,7.0,0,9,9
3509,3,9,3,0.1,0,9,7
48228,5,1,1,0.8,1,9,3
82958,5,3,3,5.2,1,9,3
10854,1,4,0,2.7,0,2,2
21673,0,7,0,1.9,0,9,4
45453,0,6,1,4.0,1,9,2
83963,4,6,1,5.4,0,9,3
81497,0,12,0,9.4,0,8,9
110135,2,11,2,6.1,0,8,8
12768,5,8,3,3.7,0,9,9
92980,6,4,3,4.9,0,2,5
48595,2,2,0,7.4,0,0,3
95928,4,12,0,8.9,0,8,5
48491,4,1,3,7.1,0,9,3
34415,2,2,3,3.0,0,0,0
94672,1,9,0,3.6,1,8,5
36330,6,7,2,4.0,1,9,7
101309,0,1,2,5.7,0,9,7
44699,6,4,1,8.8,1,2,2
56523,4,9,3,8.3,0,9,4
135944,0,4,3,0.9,0,2,7
89206,3,7,1,8.4,1,9,4
11838,2,6,2,0.9,0,9,2
96425,0,1,1,8.5,0,9,6
97879,3,5,0,3.5,0,9,6
44317,5,3,2,0.7,0,9,9
9811,5,1,1,8.7,0,9,9
34822,3,3,3,3.6,1,9,7
88329,2,5,1,0.9,0,9,4
56537,1,9,3,9.7,0,9,4
56789,0,10,2,4.8,1,8,4
117018,4,4,3,2.7,0,2,3
51179,6,8,2,5.2,1,9,3
42437,3,10,3,3.2,1,8,8
123421,6,8,3,1.4,0,9,4
8344,5,9,3,2.4,1,8,8
74204,2,6,0,1.9,0,9,8
43481,2,1,1,7.3,0,9,9
114567,5,10,2,8.2,0,8,9
52852,3,12,3,2.1,0,8,3
389,3,1,3,8.9,0,9,7
63776,0,4,0,1.7,0,2,6
59829,6,6,0,8.0,1,9,5
106369,1,2,1,0.4,1,0,1
58941,4,3,3,9.5,0,9,5
35701,0,6,0,1.2,1,9,7
122673,6,6,3,6.8,1,9,4
75605,5,9,2,1.7,0,9,8
99790,4,9,3,4.2,0,9,6
56987,2,11,0,4.5,0,8,4
39107,1,2,2,1.0,0,0,1
31255,6,6,3,7.8,0,9,6
36294,3,7,2,0.4,1,9,7
118543,1,8,2,4.8,1,9,3
143708,0,1,0,5.3,0,9,9
53468,1,2,1,3.5,0,0,4
132937,0,8,2,0.6,0,9,6
24826,2,2,3,6.5,0,0,5
124948,5,12,2,3.7,0,8,4
131544,1,5,0,1.6,1,9,6
83258,1,4,2,5.1,0,2,3
27023,0,8,1,5.6,1,9,5
97822,2,4,3,7.9,0,2,6
9279,1,12,0,5.6,1,8,8
50828,1,7,3,0.2,0,9,3
54574,5,5,0,3.8,0,9,4
29178,3,1,3,0.6,0,9,6
97547,3,4,1,0.4,1,2,6
89365,4,7,3,4.3,0,9,4
121623,0,4,1,2.0,1,2,4
100311,3,11,0,6.1,0,8,6
31746,2,8,0,6.7,0,9,6
25311,3,4,0,4.8,1,2,5
89247,5,7,2,2.5,0,9,4
41956,0,9,2,5.2,1,8,8
89552,0,8,1,2.9,0,9,4
93808,1,6,3,7.5,0,9,5
55425,1,7,0,8.7,0,9,4
68884,5,4,3,1.3,0,2,7
41298,5,7,3,9.6,1,9,8
56101,3,8,3,6.2,0,9,4
100739,4,12,0,8.8,1,8,6
71471,2,11,0,9.3,0,8,7
117423,4,5,3,3.1,0,9,3
85508,4,10,0,9.5,0,8,3
39964,3,4,2,6.5,0,2,8
25223,4,3,3,6.1,0,9,5
66797,4,11,2,3.1,0,8,6
67879,1,2,1,1.0,0,0,0
67664,6,1,2,9.6,1,9,7
31978,4,8,2,9.9,0,9,6
22815,2,9,3,5.9,0,9,4
26029,0,5,3,6.5,0,9,5
50201,6,6,0,7.6,1,9,3
27862,2,10,1,9.3,0,8,5
62835,5,1,2,7.9,0,9,6
23038,0,10,1,8.1,0,8,4
5723,1,3,1,0.9,0,9,8
133762,6,10,2,2.9,0,8,6
6540,4,5,1,2.4,1,9,8
131464,6,4,3,3.7,0,2,6
74273,5,6,0,8.8,1,9,8
72012,3,12,2,3.3,0,8,7
39934,0,4,2,3.5,0,2,8
107159,5,4,0,9.2,1,2,8
133493,0,9,3,6.1,0,9,6
121343,1,3,2,4.1,0,9,4
91567,4,1,1,3.9,0,9,5
102163,4,3,3,0.9,0,9,7
94398,1,8,1,6.3,0,9,5
131478,2,4,3,5.1,0,2,6
101237,1,1,1,8.5,0,9,7
52222,4,11,0,9.2,1,8,3
7085,5,6,2,6.8,1,9,8
132561,0,7,2,3.1,0,9,6
33582,0,12,2,9.9,0,8,6
46418,4,8,3,0.3,0,9,9
28252,5,11,1,8.2,0,8,5
77520,3,2,1,2.7,0,0,2
111211,5,2,1,3.4,0,0,2
25755,2,5,0,9.1,0,9,5
18567,4,11,1,2.1,0,8,3
90454,4,10,2,2.9,0,8,4
43776,6,2,0,6.7,0,0,2
115685,5,1,1,9.7,0,9,3
108848,1,8,1,7.7,0,9,8
118691,3,8,3,9.6,1,9,3
41512,6,8,2,0.9,0,9,8
33349,4,12,0,6.6,0,8,6
67968,0,2,1,9.9,0,0,0
72973,3,2,3,9.2,1,0,1
74470,5,6,2,8.5,0,9,8
106499,3,2,2,3.4,0,0,1
133180,3,9,0,4.8,1,8,6
96243,4,1,0,0.3,0,9,6
78773,1,5,1,7.7,0,9,9
47199,5,10,2,8.2,0,8,9
86789,4,1,1,7.3,0,9,4
85112,1,9,1,0.0,0,9,3
127769,3,7,2,5.1,0,9,5
45493,1,6,1,8.0,1,9,2
57482,1,12,1,3.9,0,8,4
3962,0,10,3,5.3,0,8,7
128352,3,9,0,3.2,1,8,5
129679,3,12,1,5.6,1,8,5
54711,0,5,1,7.5,0,9,4
57562,3,12,2,1.9,0,8,4
44646,2,4,1,3.5,0,2,2
48680,2,2,1,5.9,0,0,3
62611,6,1,0,5.5,0,9,6
73635,1,4,2,5.2,1,2,8
114917,0,11,2,3.1,0,8,2
135055,6,1,3,1.9,0,9,7
85755,3,10,3,4.2,0,8,3
66660,2,11,0,9.4,0,8,6
90330,3,10,1,0.5,0,8,4
19208,4,12,3,6.1,0,8,3
64116,3,4,3,5.7,0,2,6
80116,1,8,3,1.7,0,9,9
30005,2,3,3,3.1,0,9,6
17596,5,8,3,5.3,0,9,3
67442,3,1,0,7.4,0,9,7
38536,3,1,0,4.0,1,9,8
64475,1,5,3,1.5,0,9,6
79033,4,6,0,3.6,1,9,2
76905,6,12,3,1.4,0,8,8
115806,1,1,3,1.8,0,9,3
55242,4,6,3,0.5,0,9,4
109659,3,10,1,8.6,0,8,8
