,leap_year_condition,decade,predicted_year_digit,predicted_year
34016,1,213,2,2132
15031,0,199,1,1991
67323,1,215,2,2152
23609,0,215,9,2159
88331,0,191,5,1915
98020,1,197,8,1978
22696,1,204,8,2048
140294,1,204,8,2048
60954,0,180,5,1805
45629,1,211,2,2112
20,1,182,8,1828
67600,1,203,8,2038
97074,1,183,8,1838
54785,0,204,1,2041
43822,0,191,5,1915
55550,1,201,8,2018
104672,0,181,5,1815
72256,1,187,8,1878
99478,0,183,5,1835
20343,0,209,1,2091
4838,0,182,5,1825
37228,1,213,2,2132
121023,0,212,9,2129
84679,1,186,8,1868
4352,0,214,9,2149
133618,0,188,5,1885
79634,1,203,8,2038
39872,0,197,1,1971
64733,1,197,8,1978
80017,0,201,1,2011
96742,0,190,5,1905
113773,0,209,1,2091
68900,0,212,9,2129
61426,0,187,5,1875
48857,1,213,2,2132
102057,0,200,1,2001
139024,0,198,1,1981
93263,0,203,1,2031
45761,0,184,5,1845
121054,0,215,9,2159
33559,1,207,2,2072
50127,0,180,5,1805
92427,0,199,1,1991
138762,1,212,2,2122
133126,0,219,9,2199
1997,0,219,9,2199
114324,0,183,5,1835
143541,0,208,1,2081
126148,0,203,1,2031
132314,0,218,9,2189
51139,1,201,8,2018
116945,0,205,1,2051
57874,0,193,1,1931
128826,0,190,5,1905
53265,0,213,9,2139
82928,0,212,9,2129
65680,0,211,9,2119
65275,0,211,9,2119
112458,0,197,1,1971
32521,1,184,8,1848
57251,0,210,1,2101
110325,0,185,5,1855
92864,0,203,1,2031
72621,1,184,8,1848
138253,1,201,8,2018
32783,0,210,1,2101
129287,0,196,1,1961
121476,0,217,9,2179
24242,0,198,1,1981
19047,1,200,8,2008
111411,0,213,9,2139
22970,0,191,5,1915
9676,1,185,8,1858
105556,0,189,5,1895
3240,1,183,8,1838
20503,1,185,8,1858
146322,0,206,1,2061
118117,0,202,1,2021
44847,1,213,2,2132
56319,0,197,1,1971
28394,1,212,2,2122
80055,1,205,8,2058
84174,0,216,9,2169
136868,0,183,5,1835
117393,0,210,1,2101
46679,0,196,1,1961
22811,0,215,9,2159
9330,0,190,5,1905
74885,0,209,1,2091
24054,0,219,9,2199
47068,0,195,1,1951
125343,0,203,1,2031
48549,1,182,8,1828
134298,1,216,2,2162
68318,1,194,8,1948
7866,0,204,1,2041
53244,1,211,2,2112
69625,1,205,8,2058
5728,0,191,5,1915
117785,1,209,2,2092
105174,1,191,8,1918
48396,1,207,2,2072
88019,1,200,8,2008
133130,0,219,9,2199
136892,0,185,5,1855
83415,0,180,5,1805
2905,0,189,5,1895
24779,0,211,9,2119
59398,0,185,5,1855
914,1,191,8,1918
97473,0,183,5,1835
26664,0,199,1,1991
14074,0,183,5,1835
113195,0,191,5,1915
108839,1,196,8,1968
109353,0,208,1,2081
81387,0,218,9,2189
4095,0,188,5,1885
20284,0,203,1,2031
40265,0,196,1,1961
43512,1,200,8,2008
92698,0,186,5,1865
107561,0,189,5,1895
57149,0,200,1,2001
101423,0,217,9,2179
40844,0,214,9,2149
104414,0,195,1,1951
107977,1,190,8,1908
108218,0,214,9,2149
37531,0,203,1,2031
123602,0,189,5,1895
105166,1,190,8,1908
91387,1,216,2,2162
19000,0,195,1,1951
133418,0,208,1,2081
122591,0,208,1,2081
17587,1,214,2,2142
132142,0,201,1,2011
138749,0,210,1,2101
21911,0,205,1,2051
723,0,212,9,2129
1768,1,196,8,1968
100031,0,198,1,1981
78861,0,206,1,2061
137288,0,184,5,1845
1275,1,187,8,1878
83401,0,219,9,2199
115483,1,219,2,2192
42799,0,209,1,2091
81256,0,205,1,2051
79126,0,192,1,1921
131263,1,193,8,1938
16859,0,181,5,1815
3422,0,201,1,2011
130227,0,210,1,2101
59744,1,219,2,2192
3257,0,184,5,1845
82622,1,181,8,1818
51102,0,197,1,1971
106826,1,196,8,1968
22472,1,181,8,1818
138820,0,217,9,2179
134824,1,188,8,1888
62747,0,199,1,1991
84971,1,216,2,2162
51632,1,210,2,2102
115598,0,191,5,1915
39748,0,184,5,1845
13242,0,180,5,1805
1612,1,180,8,1808
90260,0,183,5,1835
102589,0,213,9,2139
52703,1,197,8,1978
91069,0,184,5,1845
26,0,182,5,1825
32396,1,211,2,2112
75481,0,189,5,1895
63274,0,211,9,2119
1891,0,208,1,2081
83816,0,180,5,1805
114111,0,202,1,2021
108076,0,200,1,2001
2195,0,199,1,1991
46203,1,188,8,1888
25837,0,197,1,1971
86353,0,193,1,1931
14103,1,186,8,1868
112540,1,206,8,2068
80139,1,214,2,2142
101643,0,199,1,1991
119173,1,187,8,1878
17538,0,209,1,2091
28835,1,216,2,2162
23555,0,209,1,2091
89183,0,196,1,1961
130020,1,189,8,1898
128490,0,197,1,1971
56193,0,185,5,1855
43556,1,204,8,2048
72375,0,199,1,1991
103911,1,185,8,1858
19839,0,199,1,1991
52038,0,210,1,2101
49382,0,185,5,1855
112349,0,186,5,1865
113856,0,217,9,2179
146414,0,215,9,2159
60771,1,202,8,2028
103730,1,207,2,2072
93118,0,188,5,1885
111555,0,187,5,1875
116339,0,184,5,1845
64895,0,213,9,2139
123695,0,198,1,1981
76073,1,208,2,2082
32483,0,180,5,1805
128449,0,192,1,1921
102925,0,206,1,2061
117856,0,216,9,2169
47511,0,199,1,1991
9818,0,199,1,1991
67661,0,209,1,2091
76081,1,209,2,2092
127938,0,181,5,1815
61438,0,188,5,1885
80257,0,185,5,1855
20341,0,209,1,2091
54210,0,187,5,1875
138506,1,186,8,1868
33436,0,195,1,1951
129676,0,195,1,1951
84119,0,211,9,2119
138763,0,212,9,2129
61161,0,200,1,2001
37551,0,205,1,2051
25848,1,198,8,1988
17523,1,208,2,2082
115597,0,190,5,1905
18131,0,188,5,1885
122276,1,217,2,2172
94061,0,202,1,2021
100474,1,202,8,2028
127946,0,182,5,1825
98792,0,194,1,1941
19675,0,182,5,1825
61060,1,190,8,1908
117679,0,198,1,1981
112023,1,194,8,1948
20479,1,182,8,1828
76987,1,219,2,2192
37656,0,216,9,2169
56359,0,201,1,2011
142737,0,208,1,2081
20646,0,199,1,1991
936,0,193,1,1931
68785,0,201,1,2011
66660,0,189,5,1895
8894,1,187,8,1878
1848,1,204,8,2048
19514,0,206,1,2061
67361,0,219,9,2199
121798,0,209,1,2091
117983,0,188,5,1885
24616,0,195,1,1951
163,0,196,1,1961
39156,0,205,1,2051
131205,0,187,5,1875
105614,0,195,1,1951
15307,0,186,5,1865
112914,0,203,1,2031
17492,0,204,1,2041
77161,0,196,1,1961
3790,0,198,1,1981
90403,0,197,1,1971
107264,0,199,1,1991
60020,0,207,1,2071
53995,0,206,1,2061
129615,1,189,8,1898
9713,0,188,5,1885
78999,0,180,5,1805
125399,0,208,1,2081
13023,0,199,1,1991
11320,1,189,8,1898
42024,1,212,2,2122
45031,0,191,5,1915
105480,0,181,5,1815
49124,0,200,1,2001
13545,1,211,2,2112
43500,1,199,8,1998
88108,0,208,1,2081
827,0,182,5,1825
58835,0,208,1,2081
28210,1,194,8,1948
94789,0,195,1,1951
59059,1,191,8,1918
114106,0,202,1,2021
21032,1,198,8,1988
50882,1,215,2,2152
132467,0,193,1,1931
4351,0,214,9,2149
140410,1,216,2,2162
90680,0,185,5,1855
87547,0,192,1,1921
43194,0,208,1,2081
71394,1,181,8,1818
61883,0,192,1,1921
17852,1,200,8,2008
143661,0,180,5,1805
33147,0,206,1,2061
60392,0,204,1,2041
3267,0,185,5,1855
24830,0,216,9,2169
109503,0,183,5,1835
83948,0,193,1,1931
20399,0,214,9,2149
94597,0,216,9,2169
136670,0,203,1,2031
80213,0,181,5,1815
102199,0,214,9,2149
99214,0,196,1,1961
89157,0,193,1,1931
92668,0,183,5,1835
107096,0,182,5,1825
10695,0,206,1,2061
131482,0,215,9,2159
8217,0,199,1,1991
43278,0,217,9,2179
97756,0,211,9,2119
6652,1,203,8,2038
106667,0,180,5,1805
4267,0,205,1,2051
114384,0,189,5,1895
38633,0,193,1,1931
55047,0,191,5,1915
14136,0,190,5,1905
29844,0,197,1,1971
48683,0,196,1,1961
141370,0,192,1,1921
134165,0,203,1,2031
64757,1,199,8,1998
105214,1,195,8,1958
79768,0,217,9,2179
75350,0,216,9,2169
5109,0,209,1,2091
10029,1,180,8,1808
105193,0,193,1,1931
78599,0,180,5,1805
65726,0,216,9,2169
87145,1,192,8,1928
80224,1,182,8,1828
36584,0,189,5,1895
143371,0,191,5,1915
61018,0,186,5,1865
74707,0,192,1,1921
124333,0,182,5,1825
127831,0,211,9,2119
108301,0,183,5,1835
27934,0,206,1,2061
39512,0,201,1,2011
128174,0,205,1,2051
134780,1,184,8,1848
27280,1,181,8,1818
8002,0,218,9,2189
37236,1,214,2,2142
140790,0,214,9,2149
49618,0,209,1,2091
117512,0,181,5,1815
11330,0,190,5,1905
85351,0,213,9,2139
58561,0,181,5,1815
107506,0,183,5,1835
46613,0,189,5,1895
131148,0,182,5,1825
126964,1,204,8,2048
18393,1,214,2,2142
7376,0,195,1,1951
130814,1,188,8,1888
123135,1,182,8,1828
36675,1,198,8,1988
82675,0,186,5,1865
2055,0,185,5,1855
66432,0,206,1,2061
135617,0,218,9,2189
48509,0,218,9,2189
70264,0,188,5,1885
48685,1,196,8,1968
5656,0,184,5,1845
110271,0,219,9,2199
9688,1,186,8,1868
75363,1,217,2,2172
6625,0,200,1,2001
75335,1,214,2,2142
136199,0,196,1,1961
42530,1,182,8,1828
55120,0,198,1,1981
112160,0,208,1,2081
28926,0,185,5,1855
83260,0,205,1,2051
25479,1,201,8,2018
69549,1,197,8,1978
89952,1,192,8,1928
43421,0,191,5,1915
109342,0,207,1,2071
84777,0,196,1,1961
40901,0,220,9,2209
58852,0,210,1,2101
31916,0,203,1,2031
29781,0,190,5,1905
70542,0,216,9,2169
75307,1,212,2,2122
62575,0,181,5,1815
121119,0,181,5,1815
131048,0,212,9,2129
5759,0,194,1,1941
52162,1,183,8,1838
118304,0,180,5,1805
35647,0,215,9,2159
6973,1,195,8,1958
93835,0,180,5,1805
12319,0,208,1,2081
21636,0,218,9,2189
93236,1,200,8,2008
74536,0,215,9,2159
103295,0,203,1,2031
122046,0,194,1,1941
113714,0,203,1,2031
87354,0,213,9,2139
90713,0,188,5,1885
114873,0,198,1,1981
3658,0,184,5,1845
67702,0,213,9,2139
43746,0,183,5,1835
87126,0,190,5,1905
58754,1,200,8,2008
30023,0,214,9,2149
50698,1,197,8,1978
146030,0,217,9,2179
64169,0,180,5,1805
36583,1,189,8,1898
55885,0,194,1,1941
37376,0,188,5,1885
117229,0,193,1,1931
58698,1,195,8,1958
36763,1,207,2,2072
103929,0,187,5,1875
67872,0,190,5,1905
141385,1,193,8,1938
77909,0,191,5,1915
47384,0,186,5,1865
146248,0,198,1,1981
114723,0,183,5,1835
1672,1,186,8,1868
55317,1,218,2,2182
117789,1,209,2,2092
11537,0,210,1,2101
10158,0,193,1,1931
99038,1,219,2,2192
22925,1,186,8,1868
118641,0,214,9,2149
51935,0,200,1,2001
1555,1,215,2,2152
30112,0,183,5,1835
28128,0,185,5,1855
16633,1,199,8,1998
16149,0,190,5,1905
130792,0,186,5,1865
33987,0,210,1,2101
121284,0,198,1,1981
12899,0,186,5,1865
30804,1,212,2,2122
16654,0,201,1,2011
40704,0,200,1,2001
27364,1,189,8,1898
87330,0,211,9,2119
72072,0,209,1,2091
107582,0,191,5,1915
110731,0,185,5,1855
78549,0,215,9,2159
110545,0,207,1,2071
6913,1,189,8,1898
88981,1,216,2,2162
115290,0,200,1,2001
117986,1,189,8,1898
145943,0,208,1,2081
83171,1,196,8,1968
90100,1,207,2,2072
132944,0,201,1,2011
13386,0,195,1,1951
39946,0,204,1,2041
32502,0,182,5,1825
44855,1,214,2,2142
89020,0,219,9,2199
37716,0,182,5,1825
64665,1,190,8,1908
113806,0,212,9,2129
27234,0,216,9,2169
106351,0,188,5,1885
129465,0,214,9,2149
57910,0,196,1,1961
6892,0,187,5,1875
140402,1,215,2,2152
48229,0,190,5,1905
49161,0,203,1,2031
79765,0,216,9,2169
102407,1,195,8,1958
71888,0,190,5,1905
95720,0,208,1,2081
22261,0,200,1,2001
90210,0,218,9,2189
52462,1,213,2,2132
98272,0,182,5,1825
42133,1,182,8,1828
36149,0,185,5,1855
103507,0,184,5,1845
111381,1,210,2,2102
80365,0,196,1,1961
130751,0,182,5,1825
109872,0,219,9,2199
40395,0,209,1,2091
33490,0,200,1,2001
108578,1,210,2,2102
144304,1,204,8,2048
143208,0,215,9,2159
85698,0,208,1,2081
110714,0,183,5,1835
43344,1,183,8,1838
19264,1,181,8,1818
6552,1,193,8,1938
55107,0,197,1,1971
70253,0,187,5,1875
93091,0,185,5,1855
131046,1,212,2,2122
104049,0,199,1,1991
14617,0,198,1,1981
85127,0,191,5,1915
131921,0,219,9,2199
114164,1,208,2,2082
36689,0,199,1,1991
78317,0,192,1,1921
145716,1,185,8,1858
51927,0,199,1,1991
58558,1,181,8,1818
55367,0,182,5,1825
5615,0,180,5,1805
134236,0,210,1,2101
18316,0,207,1,2071
59075,1,192,8,1928
100095,0,204,1,2041
112673,0,219,9,2199
32016,0,213,9,2139
108344,0,187,5,1875
1047,0,204,1,2041
53616,0,208,1,2081
56637,1,189,8,1898
102022,1,196,8,1968
12049,0,181,5,1815
126411,1,189,8,1898
48209,0,188,5,1885
94283,1,184,8,1848
139713,1,186,8,1868
50279,0,195,1,1951
48956,0,183,5,1835
73175,0,199,1,1991
40198,0,189,5,1895
22049,0,219,9,2199
73993,0,200,1,2001
69724,0,215,9,2159
46823,0,210,1,2101
106590,0,212,9,2129
23003,0,194,1,1941
136221,0,198,1,1981
121753,0,205,1,2051
129770,0,204,1,2041
68206,1,183,8,1838
48758,0,203,1,2031
69325,0,215,9,2159
136150,0,191,5,1915
69246,0,207,1,2071
139287,0,184,5,1845
116181,1,209,2,2092
97762,0,211,9,2119
52848,0,211,9,2119
37026,0,193,1,1931
70899,0,212,9,2129
4136,0,192,1,1921
30889,1,181,8,1818
49254,1,213,2,2132
138598,1,195,8,1958
81992,1,198,8,1988
68474,1,210,2,2102
79668,0,207,1,2071
118436,0,194,1,1941
42262,0,195,1,1951
111965,0,188,5,1885
80978,0,217,9,2179
26131,0,186,5,1865
17204,0,216,9,2169
35617,0,212,9,2129
131991,0,186,5,1865
94746,0,191,5,1915
68572,0,180,5,1805
42489,1,218,2,2182
6038,0,182,5,1825
79827,1,182,8,1828
132492,0,196,1,1961
111511,0,183,5,1835
67902,0,193,1,1931
145430,0,197,1,1971
142941,1,188,8,1888
89187,0,196,1,1961
74978,1,219,2,2192
126863,0,194,1,1941
106254,0,219,9,2199
89101,0,187,5,1875
29065,0,199,1,1991
128886,0,196,1,1961
40545,1,184,8,1848
83495,0,188,5,1885
470,0,186,5,1865
12827,1,219,2,2192
86481,0,206,1,2061
129232,0,191,5,1915
125900,0,218,9,2189
19021,0,197,1,1971
12814,0,218,9,2189
34545,0,185,5,1855
35008,0,192,1,1921
117084,0,219,9,2199
125261,0,194,1,1941
4651,1,204,8,2048
107775,0,210,1,2101
43410,0,190,5,1905
66644,0,187,5,1875
15533,0,209,1,2091
70535,1,216,2,2162
21181,0,212,9,2129
45393,1,188,8,1888
68585,0,181,5,1815
85533,1,192,8,1928
47032,0,191,5,1915
64502,0,214,9,2149
56809,1,206,8,2068
47906,0,198,1,1981
115182,0,189,5,1895
31824,0,194,1,1941
67842,0,187,5,1875
42146,0,184,5,1845
19579,0,213,9,2139
13519,0,208,1,2081
78757,0,196,1,1961
62054,0,210,1,2101
92566,1,213,2,2132
111426,0,214,9,2149
89576,0,195,1,1951
20072,0,182,5,1825
93219,0,198,1,1981
136314,0,207,1,2071
80632,0,183,5,1835
110753,0,187,5,1875
74746,1,196,8,1968
71830,0,185,5,1855
107168,0,190,5,1905
9168,0,214,9,2149
9744,1,192,8,1928
80879,0,207,1,2071
90467,0,204,1,2041
111933,0,185,5,1855
59840,0,189,5,1895
140676,0,202,1,2021
49388,0,186,5,1865
125492,1,218,2,2182
126694,0,217,9,2179
43683,0,217,9,2179
48733,1,201,8,2018
105158,1,189,8,1898
90305,1,188,8,1888
48690,0,196,1,1961
122274,0,217,9,2179
31110,0,203,1,2031
17991,0,214,9,2149
134114,1,198,8,1988
81253,0,205,1,2051
38758,0,206,1,2061
101715,0,206,1,2061
134899,0,196,1,1961
143110,0,205,1,2051
59215,1,206,8,2068
84439,0,202,1,2021
65117,0,195,1,1951
80752,0,195,1,1951
68,1,186,8,1868
11935,0,210,1,2101
117057,0,216,9,2169
100500,0,205,1,2051
91715,0,208,1,2081
71036,0,185,5,1855
76629,0,183,5,1835
20060,0,181,5,1815
79665,0,206,1,2061
105764,0,210,1,2101
63370,1,181,8,1818
29214,0,214,9,2149
41844,1,194,8,1948
60941,0,219,9,2199
64029,0,207,1,2071
144258,0,200,1,2001
16738,0,209,1,2091
80657,1,185,8,1858
133521,0,218,9,2189
58740,0,199,1,1991
104845,1,198,8,1988
26259,0,199,1,1991
844,0,184,5,1845
13523,0,209,1,2091
98286,0,184,5,1845
41207,0,210,1,2101
64770,0,200,1,2001
68002,0,203,1,2031
5052,1,204,8,2048
42224,0,191,5,1915
34042,0,215,9,2159
24652,0,199,1,1991
112777,1,189,8,1898
115064,0,217,9,2179
94067,0,203,1,2031
75344,0,215,9,2159
60490,1,214,2,2142
38115,1,182,8,1828
64712,0,195,1,1951
4575,1,196,8,1968
58671,0,192,1,1921
33135,0,205,1,2051
139685,1,184,8,1848
113790,0,210,1,2101
40851,0,215,9,2159
145072,0,201,1,2011
124051,0,194,1,1941
118128,0,203,1,2031
99462,0,181,5,1815
118271,0,217,9,2179
127189,1,187,8,1878
34452,0,216,9,2169
100475,0,202,1,2021
64479,0,211,9,2119
139804,0,195,1,1951
137785,0,194,1,1941
32259,0,197,1,1971
88333,0,191,5,1915
29154,0,208,1,2081
56080,0,214,9,2149
20516,0,186,5,1865
42544,0,183,5,1835
87241,1,202,8,2028
75816,0,182,5,1825
121383,0,208,1,2081
92916,0,208,1,2081
139353,0,190,5,1905
35299,0,181,5,1815
75219,1,203,8,2038
70141,0,216,9,2169
15472,0,203,1,2031
47005,1,188,8,1888
112818,0,193,1,1931
65277,0,211,9,2119
37596,0,210,1,2101
53500,0,196,1,1961
9996,1,217,2,2172
105704,0,204,1,2041
114819,0,193,1,1931
87381,1,216,2,2162
31093,1,201,8,2018
5925,0,211,9,2119
23175,0,211,9,2119
96738,0,189,5,1895
58463,0,211,9,2119
6771,0,215,9,2159
59938,0,198,1,1981
64542,0,218,9,2189
71393,0,181,5,1815
45386,0,187,5,1875
110457,0,198,1,1981
85135,0,192,1,1921
57747,0,180,5,1805
66097,0,213,9,2139
64064,0,210,1,2101
134672,0,213,9,2139
10681,0,205,1,2051
80027,1,202,8,2028
137529,0,209,1,2091
13225,0,219,9,2199
31035,0,195,1,1951
33419,1,193,8,1938
114473,1,198,8,1988
54154,0,181,5,1815
39189,1,209,2,2092
99952,0,190,5,1905
97558,0,191,5,1915
1215,1,181,8,1818
63232,0,207,1,2071
109838,0,216,9,2169
140441,0,219,9,2199
8404,1,218,2,2182
97004,0,216,9,2169
102815,0,195,1,1951
102973,0,211,9,2119
38085,0,219,9,2199
115990,0,190,5,1905
59631,0,208,1,2081
46877,0,216,9,2169
48256,1,193,8,1938
137033,0,199,1,1991
89282,1,206,8,2068
85806,0,219,9,2199
71397,0,181,5,1815
56015,1,207,2,2072
67137,0,197,1,1971
2217,1,201,8,2018
38067,0,217,9,2179
70321,0,194,1,1941
47992,0,207,1,2071
103912,0,185,5,1855
139931,0,208,1,2081
79132,0,193,1,1931
16178,0,193,1,1931
42352,0,204,1,2041
39916,0,201,1,2011
131460,0,213,9,2139
29267,0,219,9,2199
9307,1,188,8,1888
57273,0,213,9,2139
2077,1,187,8,1878
82175,0,217,9,2179
114469,1,198,8,1988
115220,0,193,1,1931
20464,0,181,5,1815
102703,0,184,5,1845
95596,0,195,1,1951
26925,0,185,5,1855
50852,0,212,9,2129
50825,0,209,1,2091
93527,0,189,5,1895
26858,1,219,2,2192
94633,0,219,9,2199
1071,0,206,1,2061
40276,1,197,8,1978
144980,0,192,1,1921
108052,0,198,1,1981
80984,0,218,9,2189
139560,1,211,2,2112
36115,0,182,5,1825
27029,0,196,1,1961
76580,0,219,9,2199
59776,0,182,5,1825
113560,0,187,5,1875
144329,0,207,1,2071
21202,0,215,9,2159
61244,1,209,2,2092
56353,0,201,1,2011
23231,0,217,9,2179
108382,1,191,8,1918
10453,0,182,5,1825
96855,0,201,1,2011
58438,0,209,1,2091
120546,0,204,1,2041
2758,1,215,2,2152
23438,1,198,8,1988
144625,1,196,8,1968
121070,0,216,9,2169
52882,0,215,9,2159
130041,0,191,5,1915
123687,0,197,1,1971
112383,0,190,5,1905
141840,0,199,1,1991
91720,1,209,2,2092
128446,0,192,1,1921
51941,1,201,8,2018
55068,0,193,1,1931
37157,0,206,1,2061
25528,0,206,1,2061
65865,0,190,5,1905
25774,0,191,5,1915
62279,1,192,8,1928
36486,1,219,2,2192
60579,1,182,8,1828
79959,1,196,8,1968
33562,0,207,1,2071
121970,0,186,5,1865
146309,1,204,8,2048
142563,0,191,5,1915
32791,0,211,9,2119
25892,1,202,8,2028
91325,0,209,1,2091
134960,1,202,8,2028
93627,0,199,1,1991
116502,1,201,8,2018
133953,0,181,5,1815
36415,0,212,9,2129
16209,0,196,1,1961
4773,0,216,9,2169
33181,0,209,1,2091
140040,0,219,9,2199
77846,1,185,8,1858
56114,0,217,9,2179
8132,1,191,8,1918
63409,0,185,5,1855
7727,1,190,8,1908
79973,0,197,1,1971
130701,1,217,2,2172
52719,1,198,8,1988
11449,0,202,1,2021
77001,0,180,5,1805
132906,0,197,1,1971
29854,1,198,8,1988
35884,0,199,1,1991
142127,1,187,8,1878
75572,1,198,8,1988
132283,0,215,9,2159
144582,0,192,1,1921
107193,0,192,1,1921
60907,1,215,2,2152
48067,1,214,2,2142
100176,0,212,9,2129
48872,0,215,9,2159
8749,1,212,2,2122
62588,1,183,8,1838
121927,0,182,5,1825
127827,0,210,1,2101
79159,0,196,1,1961
68577,0,180,5,1805
98969,0,212,9,2129
55934,0,199,1,1991
34407,0,212,9,2129
63955,1,199,8,1998
21784,0,193,1,1931
101433,0,218,9,2189
94952,1,211,2,2112
139675,0,183,5,1835
64849,1,208,2,2082
82603,0,219,9,2199
1323,1,192,8,1928
522,0,192,1,1921
86798,0,198,1,1981
85022,0,181,5,1815
11325,0,189,5,1895
96368,1,192,8,1928
115624,1,193,8,1938
90031,0,200,1,2001
92601,0,217,9,2179
10391,0,216,9,2169
99065,0,181,5,1815
20392,0,214,9,2149
108555,0,208,1,2081
30757,0,208,1,2081
13901,0,206,1,2061
62766,0,201,1,2011
122055,0,195,1,1951
75929,1,194,8,1948
47441,0,192,1,1921
76832,0,204,1,2041
131515,1,218,2,2182
64173,0,181,5,1815
88061,0,204,1,2041
39260,0,216,9,2169
13914,1,208,2,2082
63706,1,214,2,2142
121783,1,208,2,2082
33321,0,183,5,1835
55386,1,184,8,1848
142677,0,202,1,2021
58468,0,212,9,2129
23626,1,216,2,2162
72767,0,198,1,1981
123583,0,187,5,1875
64291,0,193,1,1931
119739,0,204,1,2041
83731,0,212,9,2129
127528,0,181,5,1815
39377,0,187,5,1875
143241,1,218,2,2182
102743,0,188,5,1885
23468,0,201,1,2011
123316,0,200,1,2001
67813,1,184,8,1848
71428,0,185,5,1855
121535,1,183,8,1838
86218,0,180,5,1805
134452,0,191,5,1915
71920,0,194,1,1941
6677,0,206,1,2061
100725,0,187,5,1875
39425,0,192,1,1921
122971,0,206,1,2061
61798,1,184,8,1848
25164,0,210,1,2101
17929,0,208,1,2081
136792,0,215,9,2159
128305,0,218,9,2189
51236,0,210,1,2101
95665,0,202,1,2021
135116,1,218,2,2182
134282,1,214,2,2142
125913,0,220,9,2209
119793,0,209,1,2091
128493,0,197,1,1971
53695,0,216,9,2169
53055,0,192,1,1921
73749,0,216,9,2169
59275,1,212,2,2122
104086,0,202,1,2021
49442,0,191,5,1915
107988,0,191,5,1915
102819,0,196,1,1961
75011,1,182,8,1828
50897,0,217,9,2179
101235,0,198,1,1981
78174,1,218,2,2182
59658,0,211,9,2119
53059,0,192,1,1921
85227,0,201,1,2011
113512,0,182,5,1825
101025,0,217,9,2179
48754,0,203,1,2031
6683,0,206,1,2061
108240,0,217,9,2179
88519,0,209,1,2091
94026,1,199,8,1998
86272,0,185,5,1855
144209,0,195,1,1951
122965,0,205,1,2051
121532,0,182,5,1825
85679,0,206,1,2061
119344,0,204,1,2041
85357,0,214,9,2149
145251,0,219,9,2199
51188,0,206,1,2061
128010,0,189,5,1895
248,1,204,8,2048
18653,0,200,1,2001
100976,0,212,9,2129
128397,0,187,5,1875
110779,0,190,5,1905
74333,1,194,8,1948
75362,0,217,9,2179
136357,0,212,9,2129
84263,0,185,5,1855
108417,0,194,1,1941
142301,0,205,1,2051
111274,0,199,1,1991
120824,0,192,1,1921
12512,0,188,5,1885
127176,0,185,5,1855
118054,1,196,8,1968
66272,0,190,5,1905
139666,0,182,5,1825
129572,0,184,5,1845
101295,0,204,1,2041
21049,0,199,1,1991
5078,0,206,1,2061
68736,0,196,1,1961
96140,0,210,1,2101
53312,1,218,2,2182
125270,0,195,1,1951
50703,0,197,1,1971
96620,1,218,2,2182
54912,1,217,2,2172
112810,0,192,1,1921
139121,0,207,1,2071
127855,0,213,9,2139
55751,1,181,8,1818
103811,0,215,9,2159
108758,0,188,5,1885
59724,1,217,2,2172
102109,0,205,1,2051
90795,0,196,1,1961
78147,0,215,9,2159
54682,0,194,1,1941
114571,0,208,1,2081
57938,0,199,1,1991
117418,0,212,9,2129
56573,1,183,8,1838
25811,0,194,1,1941
25960,1,209,2,2092
105484,0,182,5,1825
98909,0,206,1,2061
110695,0,181,5,1815
14665,0,202,1,2021
30434,0,215,9,2159
21786,1,193,8,1938
44592,0,188,5,1885
65878,0,191,5,1915
97035,0,219,9,2199
23256,0,219,9,2199
109493,1,182,8,1828
111126,0,184,5,1845
108296,0,182,5,1825
72563,0,218,9,2189
75041,0,185,5,1855
104809,1,194,8,1948
5288,0,187,5,1875
82098,0,209,1,2091
81376,0,217,9,2179
120861,1,196,8,1968
11621,0,219,9,2199
129419,0,209,1,2091
107020,0,215,9,2159
623,0,202,1,2021
59534,0,198,1,1981
84975,1,216,2,2162
6991,0,197,1,1971
142963,0,191,5,1915
118152,0,205,1,2051
95038,0,180,5,1805
78877,0,208,1,2081
146087,0,182,5,1825
71304,0,212,9,2129
142043,0,219,9,2199
81625,0,202,1,2021
70020,0,204,1,2041
102427,1,197,8,1978
1428,0,202,1,2021
18940,0,189,5,1895
54773,0,203,1,2031
27681,1,181,8,1818
133940,0,180,5,1805
83726,0,211,9,2119
59081,0,193,1,1931
11370,0,194,1,1941
44594,0,188,5,1885
49780,1,185,8,1858
70079,0,210,1,2101
131343,1,201,8,2018
121382,1,208,2,2082
41569,0,206,1,2061
101501,1,184,8,1848
51143,1,201,8,2018
110403,1,192,8,1928
77930,1,193,8,1938
4731,1,212,2,2122
698,0,209,1,2091
133153,0,182,5,1825
11821,1,199,8,1998
16465,1,182,8,1828
38609,0,191,5,1915
87531,0,191,5,1915
65509,0,194,1,1941
137674,0,183,5,1835
91181,0,195,1,1951
52790,0,205,1,2051
17873,0,202,1,2021
80901,0,210,1,2101
8264,1,204,8,2048
104333,0,187,5,1875
50061,0,213,9,2139
128696,1,217,2,2172
46157,0,184,5,1845
120246,0,214,9,2149
128225,0,210,1,2101
6172,0,195,1,1951
118518,0,202,1,2021
98273,1,182,8,1828
102198,1,214,2,2142
24449,0,218,9,2189
129226,1,190,8,1908
13723,0,188,5,1885
36832,0,214,9,2149
