,leap_year_condition,decade,decade4,predicted_year_digit,predicted_year
134298,1,216,0,8,2168
68318,1,194,0,8,1948
7866,0,204,0,6,2046
53244,1,211,1,2,2112
69625,1,205,1,2,2052
5728,0,191,1,9,1919
117785,1,209,1,2,2092
105174,1,191,1,2,1912
48396,1,207,1,2,2072
88019,1,200,0,8,2008
133130,0,219,1,7,2197
136892,0,185,1,9,1859
83415,0,180,0,6,1806
2905,0,189,1,9,1899
24779,0,211,1,7,2117
59398,0,185,1,9,1859
914,1,191,1,2,1912
97473,0,183,1,9,1839
26664,0,199,1,7,1997
14074,0,183,1,9,1839
113195,0,191,1,9,1919
108839,1,196,0,8,1968
109353,0,208,0,6,2086
81387,0,218,0,6,2186
4095,0,188,0,6,1886
20284,0,203,1,7,2037
40265,0,196,0,6,1966
43512,1,200,0,8,2008
92698,0,186,0,6,1866
107561,0,189,1,9,1899
57149,0,200,0,6,2006
101423,0,217,1,7,2177
40844,0,214,0,6,2146
104414,0,195,1,7,1957
107977,1,190,0,8,1908
108218,0,214,0,6,2146
37531,0,203,1,7,2037
123602,0,189,1,9,1899
105166,1,190,0,8,1908
91387,1,216,0,8,2168
19000,0,195,1,7,1957
133418,0,208,0,6,2086
122591,0,208,0,6,2086
17587,1,214,0,8,2148
132142,0,201,1,7,2017
138749,0,210,0,6,2106
21911,0,205,1,7,2057
723,0,212,0,6,2126
1768,1,196,0,8,1968
100031,0,198,0,6,1986
78861,0,206,0,6,2066
137288,0,184,0,6,1846
1275,1,187,1,2,1872
83401,0,219,1,7,2197
115483,1,219,1,2,2192
42799,0,209,1,7,2097
81256,0,205,1,7,2057
79126,0,192,0,6,1926
131263,1,193,1,2,1932
16859,0,181,1,9,1819
3422,0,201,1,7,2017
130227,0,210,0,6,2106
59744,1,219,1,2,2192
3257,0,184,0,6,1846
82622,1,181,1,2,1812
51102,0,197,1,7,1977
106826,1,196,0,8,1968
22472,1,181,1,2,1812
138820,0,217,1,7,2177
134824,1,188,0,8,1888
62747,0,199,1,7,1997
84971,1,216,0,8,2168
51632,1,210,0,8,2108
115598,0,191,1,9,1919
39748,0,184,0,6,1846
13242,0,180,0,6,1806
1612,1,180,0,8,1808
90260,0,183,1,9,1839
102589,0,213,1,7,2137
52703,1,197,1,2,1972
91069,0,184,0,6,1846
26,0,182,0,6,1826
32396,1,211,1,2,2112
75481,0,189,1,9,1899
63274,0,211,1,7,2117
1891,0,208,0,6,2086
83816,0,180,0,6,1806
114111,0,202,0,6,2026
108076,0,200,0,6,2006
2195,0,199,1,7,1997
46203,1,188,0,8,1888
25837,0,197,1,7,1977
86353,0,193,1,7,1937
14103,1,186,0,8,1868
112540,1,206,0,8,2068
80139,1,214,0,8,2148
101643,0,199,1,7,1997
119173,1,187,1,2,1872
17538,0,209,1,7,2097
28835,1,216,0,8,2168
23555,0,209,1,7,2097
89183,0,196,0,6,1966
130020,1,189,1,2,1892
128490,0,197,1,7,1977
56193,0,185,1,9,1859
43556,1,204,0,8,2048
72375,0,199,1,7,1997
103911,1,185,1,2,1852
19839,0,199,1,7,1997
52038,0,210,0,6,2106
49382,0,185,1,9,1859
112349,0,186,0,6,1866
113856,0,217,1,7,2177
146414,0,215,1,7,2157
60771,1,202,0,8,2028
103730,1,207,1,2,2072
93118,0,188,0,6,1886
111555,0,187,1,9,1879
116339,0,184,0,6,1846
64895,0,213,1,7,2137
123695,0,198,0,6,1986
76073,1,208,0,8,2088
32483,0,180,0,6,1806
128449,0,192,0,6,1926
102925,0,206,0,6,2066
117856,0,216,0,6,2166
47511,0,199,1,7,1997
9818,0,199,1,7,1997
67661,0,209,1,7,2097
76081,1,209,1,2,2092
127938,0,181,1,9,1819
61438,0,188,0,6,1886
80257,0,185,1,9,1859
20341,0,209,1,7,2097
54210,0,187,1,9,1879
138506,1,186,0,8,1868
33436,0,195,1,7,1957
129676,0,195,1,7,1957
84119,0,211,1,7,2117
138763,0,212,0,6,2126
61161,0,200,0,6,2006
37551,0,205,1,7,2057
25848,1,198,0,8,1988
17523,1,208,0,8,2088
115597,0,190,0,6,1906
18131,0,188,0,6,1886
122276,1,217,1,2,2172
94061,0,202,0,6,2026
100474,1,202,0,8,2028
127946,0,182,0,6,1826
98792,0,194,0,6,1946
19675,0,182,0,6,1826
61060,1,190,0,8,1908
117679,0,198,0,6,1986
112023,1,194,0,8,1948
20479,1,182,0,8,1828
76987,1,219,1,2,2192
37656,0,216,0,6,2166
56359,0,201,1,7,2017
142737,0,208,0,6,2086
20646,0,199,1,7,1997
936,0,193,1,7,1937
68785,0,201,1,7,2017
66660,0,189,1,9,1899
8894,1,187,1,2,1872
1848,1,204,0,8,2048
19514,0,206,0,6,2066
67361,0,219,1,7,2197
121798,0,209,1,7,2097
117983,0,188,0,6,1886
24616,0,195,1,7,1957
163,0,196,0,6,1966
39156,0,205,1,7,2057
131205,0,187,1,9,1879
105614,0,195,1,7,1957
15307,0,186,0,6,1866
112914,0,203,1,7,2037
17492,0,204,0,6,2046
77161,0,196,0,6,1966
3790,0,198,0,6,1986
90403,0,197,1,7,1977
107264,0,199,1,7,1997
60020,0,207,1,7,2077
53995,0,206,0,6,2066
129615,1,189,1,2,1892
9713,0,188,0,6,1886
78999,0,180,0,6,1806
125399,0,208,0,6,2086
13023,0,199,1,7,1997
11320,1,189,1,2,1892
42024,1,212,0,8,2128
45031,0,191,1,9,1919
105480,0,181,1,9,1819
49124,0,200,0,6,2006
13545,1,211,1,2,2112
43500,1,199,1,2,1992
88108,0,208,0,6,2086
827,0,182,0,6,1826
58835,0,208,0,6,2086
28210,1,194,0,8,1948
94789,0,195,1,7,1957
59059,1,191,1,2,1912
114106,0,202,0,6,2026
21032,1,198,0,8,1988
50882,1,215,1,2,2152
132467,0,193,1,7,1937
4351,0,214,0,6,2146
140410,1,216,0,8,2168
90680,0,185,1,9,1859
87547,0,192,0,6,1926
43194,0,208,0,6,2086
71394,1,181,1,2,1812
61883,0,192,0,6,1926
17852,1,200,0,8,2008
143661,0,180,0,6,1806
33147,0,206,0,6,2066
60392,0,204,0,6,2046
3267,0,185,1,9,1859
24830,0,216,0,6,2166
109503,0,183,1,9,1839
83948,0,193,1,7,1937
20399,0,214,0,6,2146
94597,0,216,0,6,2166
136670,0,203,1,7,2037
80213,0,181,1,9,1819
102199,0,214,0,6,2146
99214,0,196,0,6,1966
89157,0,193,1,7,1937
92668,0,183,1,9,1839
107096,0,182,0,6,1826
10695,0,206,0,6,2066
131482,0,215,1,7,2157
8217,0,199,1,7,1997
43278,0,217,1,7,2177
97756,0,211,1,7,2117
6652,1,203,1,2,2032
106667,0,180,0,6,1806
4267,0,205,1,7,2057
114384,0,189,1,9,1899
38633,0,193,1,7,1937
55047,0,191,1,9,1919
14136,0,190,0,6,1906
29844,0,197,1,7,1977
48683,0,196,0,6,1966
141370,0,192,0,6,1926
134165,0,203,1,7,2037
64757,1,199,1,2,1992
105214,1,195,1,2,1952
79768,0,217,1,7,2177
75350,0,216,0,6,2166
5109,0,209,1,7,2097
10029,1,180,0,8,1808
105193,0,193,1,7,1937
78599,0,180,0,6,1806
65726,0,216,0,6,2166
87145,1,192,0,8,1928
80224,1,182,0,8,1828
36584,0,189,1,9,1899
143371,0,191,1,9,1919
61018,0,186,0,6,1866
74707,0,192,0,6,1926
124333,0,182,0,6,1826
127831,0,211,1,7,2117
108301,0,183,1,9,1839
27934,0,206,0,6,2066
39512,0,201,1,7,2017
128174,0,205,1,7,2057
134780,1,184,0,8,1848
27280,1,181,1,2,1812
8002,0,218,0,6,2186
37236,1,214,0,8,2148
140790,0,214,0,6,2146
49618,0,209,1,7,2097
117512,0,181,1,9,1819
11330,0,190,0,6,1906
85351,0,213,1,7,2137
58561,0,181,1,9,1819
107506,0,183,1,9,1839
46613,0,189,1,9,1899
131148,0,182,0,6,1826
126964,1,204,0,8,2048
18393,1,214,0,8,2148
7376,0,195,1,7,1957
130814,1,188,0,8,1888
123135,1,182,0,8,1828
36675,1,198,0,8,1988
82675,0,186,0,6,1866
2055,0,185,1,9,1859
66432,0,206,0,6,2066
135617,0,218,0,6,2186
48509,0,218,0,6,2186
70264,0,188,0,6,1886
48685,1,196,0,8,1968
5656,0,184,0,6,1846
110271,0,219,1,7,2197
9688,1,186,0,8,1868
75363,1,217,1,2,2172
6625,0,200,0,6,2006
75335,1,214,0,8,2148
136199,0,196,0,6,1966
42530,1,182,0,8,1828
55120,0,198,0,6,1986
112160,0,208,0,6,2086
28926,0,185,1,9,1859
83260,0,205,1,7,2057
25479,1,201,1,2,2012
69549,1,197,1,2,1972
89952,1,192,0,8,1928
43421,0,191,1,9,1919
109342,0,207,1,7,2077
84777,0,196,0,6,1966
40901,0,220,0,6,2206
58852,0,210,0,6,2106
31916,0,203,1,7,2037
29781,0,190,0,6,1906
70542,0,216,0,6,2166
75307,1,212,0,8,2128
62575,0,181,1,9,1819
121119,0,181,1,9,1819
131048,0,212,0,6,2126
5759,0,194,0,6,1946
52162,1,183,1,2,1832
118304,0,180,0,6,1806
35647,0,215,1,7,2157
6973,1,195,1,2,1952
93835,0,180,0,6,1806
12319,0,208,0,6,2086
21636,0,218,0,6,2186
93236,1,200,0,8,2008
74536,0,215,1,7,2157
103295,0,203,1,7,2037
122046,0,194,0,6,1946
113714,0,203,1,7,2037
87354,0,213,1,7,2137
90713,0,188,0,6,1886
114873,0,198,0,6,1986
3658,0,184,0,6,1846
67702,0,213,1,7,2137
43746,0,183,1,9,1839
87126,0,190,0,6,1906
58754,1,200,0,8,2008
30023,0,214,0,6,2146
50698,1,197,1,2,1972
146030,0,217,1,7,2177
64169,0,180,0,6,1806
36583,1,189,1,2,1892
55885,0,194,0,6,1946
37376,0,188,0,6,1886
117229,0,193,1,7,1937
58698,1,195,1,2,1952
36763,1,207,1,2,2072
103929,0,187,1,9,1879
67872,0,190,0,6,1906
141385,1,193,1,2,1932
77909,0,191,1,9,1919
47384,0,186,0,6,1866
146248,0,198,0,6,1986
114723,0,183,1,9,1839
1672,1,186,0,8,1868
55317,1,218,0,8,2188
117789,1,209,1,2,2092
11537,0,210,0,6,2106
10158,0,193,1,7,1937
99038,1,219,1,2,2192
22925,1,186,0,8,1868
118641,0,214,0,6,2146
51935,0,200,0,6,2006
1555,1,215,1,2,2152
30112,0,183,1,9,1839
28128,0,185,1,9,1859
16633,1,199,1,2,1992
16149,0,190,0,6,1906
130792,0,186,0,6,1866
33987,0,210,0,6,2106
121284,0,198,0,6,1986
12899,0,186,0,6,1866
30804,1,212,0,8,2128
16654,0,201,1,7,2017
40704,0,200,0,6,2006
27364,1,189,1,2,1892
87330,0,211,1,7,2117
72072,0,209,1,7,2097
107582,0,191,1,9,1919
110731,0,185,1,9,1859
78549,0,215,1,7,2157
110545,0,207,1,7,2077
6913,1,189,1,2,1892
88981,1,216,0,8,2168
115290,0,200,0,6,2006
117986,1,189,1,2,1892
145943,0,208,0,6,2086
83171,1,196,0,8,1968
90100,1,207,1,2,2072
132944,0,201,1,7,2017
13386,0,195,1,7,1957
39946,0,204,0,6,2046
32502,0,182,0,6,1826
44855,1,214,0,8,2148
89020,0,219,1,7,2197
37716,0,182,0,6,1826
64665,1,190,0,8,1908
113806,0,212,0,6,2126
27234,0,216,0,6,2166
106351,0,188,0,6,1886
129465,0,214,0,6,2146
57910,0,196,0,6,1966
6892,0,187,1,9,1879
140402,1,215,1,2,2152
48229,0,190,0,6,1906
49161,0,203,1,7,2037
79765,0,216,0,6,2166
102407,1,195,1,2,1952
71888,0,190,0,6,1906
95720,0,208,0,6,2086
22261,0,200,0,6,2006
90210,0,218,0,6,2186
52462,1,213,1,2,2132
98272,0,182,0,6,1826
42133,1,182,0,8,1828
36149,0,185,1,9,1859
103507,0,184,0,6,1846
111381,1,210,0,8,2108
80365,0,196,0,6,1966
130751,0,182,0,6,1826
109872,0,219,1,7,2197
40395,0,209,1,7,2097
33490,0,200,0,6,2006
108578,1,210,0,8,2108
144304,1,204,0,8,2048
143208,0,215,1,7,2157
85698,0,208,0,6,2086
110714,0,183,1,9,1839
43344,1,183,1,2,1832
19264,1,181,1,2,1812
6552,1,193,1,2,1932
55107,0,197,1,7,1977
70253,0,187,1,9,1879
93091,0,185,1,9,1859
131046,1,212,0,8,2128
104049,0,199,1,7,1997
14617,0,198,0,6,1986
85127,0,191,1,9,1919
131921,0,219,1,7,2197
114164,1,208,0,8,2088
36689,0,199,1,7,1997
78317,0,192,0,6,1926
145716,1,185,1,2,1852
51927,0,199,1,7,1997
58558,1,181,1,2,1812
55367,0,182,0,6,1826
5615,0,180,0,6,1806
134236,0,210,0,6,2106
18316,0,207,1,7,2077
59075,1,192,0,8,1928
100095,0,204,0,6,2046
112673,0,219,1,7,2197
32016,0,213,1,7,2137
108344,0,187,1,9,1879
1047,0,204,0,6,2046
53616,0,208,0,6,2086
56637,1,189,1,2,1892
102022,1,196,0,8,1968
12049,0,181,1,9,1819
126411,1,189,1,2,1892
48209,0,188,0,6,1886
94283,1,184,0,8,1848
139713,1,186,0,8,1868
50279,0,195,1,7,1957
48956,0,183,1,9,1839
73175,0,199,1,7,1997
40198,0,189,1,9,1899
22049,0,219,1,7,2197
73993,0,200,0,6,2006
69724,0,215,1,7,2157
46823,0,210,0,6,2106
106590,0,212,0,6,2126
23003,0,194,0,6,1946
136221,0,198,0,6,1986
121753,0,205,1,7,2057
129770,0,204,0,6,2046
68206,1,183,1,2,1832
48758,0,203,1,7,2037
69325,0,215,1,7,2157
136150,0,191,1,9,1919
69246,0,207,1,7,2077
139287,0,184,0,6,1846
116181,1,209,1,2,2092
97762,0,211,1,7,2117
52848,0,211,1,7,2117
37026,0,193,1,7,1937
70899,0,212,0,6,2126
4136,0,192,0,6,1926
30889,1,181,1,2,1812
49254,1,213,1,2,2132
138598,1,195,1,2,1952
81992,1,198,0,8,1988
68474,1,210,0,8,2108
79668,0,207,1,7,2077
118436,0,194,0,6,1946
42262,0,195,1,7,1957
111965,0,188,0,6,1886
80978,0,217,1,7,2177
26131,0,186,0,6,1866
17204,0,216,0,6,2166
35617,0,212,0,6,2126
131991,0,186,0,6,1866
94746,0,191,1,9,1919
68572,0,180,0,6,1806
42489,1,218,0,8,2188
6038,0,182,0,6,1826
79827,1,182,0,8,1828
132492,0,196,0,6,1966
111511,0,183,1,9,1839
67902,0,193,1,7,1937
145430,0,197,1,7,1977
142941,1,188,0,8,1888
89187,0,196,0,6,1966
74978,1,219,1,2,2192
126863,0,194,0,6,1946
106254,0,219,1,7,2197
89101,0,187,1,9,1879
29065,0,199,1,7,1997
128886,0,196,0,6,1966
40545,1,184,0,8,1848
83495,0,188,0,6,1886
470,0,186,0,6,1866
12827,1,219,1,2,2192
86481,0,206,0,6,2066
129232,0,191,1,9,1919
125900,0,218,0,6,2186
19021,0,197,1,7,1977
12814,0,218,0,6,2186
34545,0,185,1,9,1859
35008,0,192,0,6,1926
117084,0,219,1,7,2197
125261,0,194,0,6,1946
4651,1,204,0,8,2048
107775,0,210,0,6,2106
43410,0,190,0,6,1906
66644,0,187,1,9,1879
15533,0,209,1,7,2097
70535,1,216,0,8,2168
21181,0,212,0,6,2126
45393,1,188,0,8,1888
68585,0,181,1,9,1819
85533,1,192,0,8,1928
47032,0,191,1,9,1919
64502,0,214,0,6,2146
56809,1,206,0,8,2068
47906,0,198,0,6,1986
115182,0,189,1,9,1899
31824,0,194,0,6,1946
67842,0,187,1,9,1879
42146,0,184,0,6,1846
19579,0,213,1,7,2137
13519,0,208,0,6,2086
78757,0,196,0,6,1966
62054,0,210,0,6,2106
92566,1,213,1,2,2132
111426,0,214,0,6,2146
89576,0,195,1,7,1957
20072,0,182,0,6,1826
93219,0,198,0,6,1986
136314,0,207,1,7,2077
80632,0,183,1,9,1839
110753,0,187,1,9,1879
74746,1,196,0,8,1968
71830,0,185,1,9,1859
107168,0,190,0,6,1906
9168,0,214,0,6,2146
9744,1,192,0,8,1928
80879,0,207,1,7,2077
90467,0,204,0,6,2046
111933,0,185,1,9,1859
59840,0,189,1,9,1899
140676,0,202,0,6,2026
49388,0,186,0,6,1866
125492,1,218,0,8,2188
126694,0,217,1,7,2177
43683,0,217,1,7,2177
48733,1,201,1,2,2012
105158,1,189,1,2,1892
90305,1,188,0,8,1888
48690,0,196,0,6,1966
122274,0,217,1,7,2177
31110,0,203,1,7,2037
17991,0,214,0,6,2146
134114,1,198,0,8,1988
81253,0,205,1,7,2057
38758,0,206,0,6,2066
101715,0,206,0,6,2066
134899,0,196,0,6,1966
143110,0,205,1,7,2057
59215,1,206,0,8,2068
84439,0,202,0,6,2026
65117,0,195,1,7,1957
80752,0,195,1,7,1957
68,1,186,0,8,1868
11935,0,210,0,6,2106
117057,0,216,0,6,2166
100500,0,205,1,7,2057
91715,0,208,0,6,2086
71036,0,185,1,9,1859
76629,0,183,1,9,1839
20060,0,181,1,9,1819
79665,0,206,0,6,2066
105764,0,210,0,6,2106
63370,1,181,1,2,1812
29214,0,214,0,6,2146
41844,1,194,0,8,1948
60941,0,219,1,7,2197
64029,0,207,1,7,2077
144258,0,200,0,6,2006
16738,0,209,1,7,2097
80657,1,185,1,2,1852
133521,0,218,0,6,2186
58740,0,199,1,7,1997
104845,1,198,0,8,1988
26259,0,199,1,7,1997
844,0,184,0,6,1846
13523,0,209,1,7,2097
98286,0,184,0,6,1846
41207,0,210,0,6,2106
64770,0,200,0,6,2006
68002,0,203,1,7,2037
5052,1,204,0,8,2048
42224,0,191,1,9,1919
34042,0,215,1,7,2157
24652,0,199,1,7,1997
112777,1,189,1,2,1892
115064,0,217,1,7,2177
94067,0,203,1,7,2037
75344,0,215,1,7,2157
60490,1,214,0,8,2148
38115,1,182,0,8,1828
64712,0,195,1,7,1957
4575,1,196,0,8,1968
58671,0,192,0,6,1926
33135,0,205,1,7,2057
139685,1,184,0,8,1848
113790,0,210,0,6,2106
40851,0,215,1,7,2157
145072,0,201,1,7,2017
124051,0,194,0,6,1946
118128,0,203,1,7,2037
99462,0,181,1,9,1819
118271,0,217,1,7,2177
127189,1,187,1,2,1872
34452,0,216,0,6,2166
100475,0,202,0,6,2026
64479,0,211,1,7,2117
139804,0,195,1,7,1957
137785,0,194,0,6,1946
32259,0,197,1,7,1977
88333,0,191,1,9,1919
29154,0,208,0,6,2086
56080,0,214,0,6,2146
20516,0,186,0,6,1866
42544,0,183,1,9,1839
87241,1,202,0,8,2028
75816,0,182,0,6,1826
121383,0,208,0,6,2086
92916,0,208,0,6,2086
139353,0,190,0,6,1906
35299,0,181,1,9,1819
75219,1,203,1,2,2032
70141,0,216,0,6,2166
15472,0,203,1,7,2037
47005,1,188,0,8,1888
112818,0,193,1,7,1937
65277,0,211,1,7,2117
37596,0,210,0,6,2106
53500,0,196,0,6,1966
9996,1,217,1,2,2172
105704,0,204,0,6,2046
114819,0,193,1,7,1937
87381,1,216,0,8,2168
31093,1,201,1,2,2012
5925,0,211,1,7,2117
23175,0,211,1,7,2117
96738,0,189,1,9,1899
58463,0,211,1,7,2117
6771,0,215,1,7,2157
59938,0,198,0,6,1986
64542,0,218,0,6,2186
71393,0,181,1,9,1819
45386,0,187,1,9,1879
110457,0,198,0,6,1986
85135,0,192,0,6,1926
57747,0,180,0,6,1806
66097,0,213,1,7,2137
64064,0,210,0,6,2106
134672,0,213,1,7,2137
10681,0,205,1,7,2057
80027,1,202,0,8,2028
137529,0,209,1,7,2097
13225,0,219,1,7,2197
31035,0,195,1,7,1957
33419,1,193,1,2,1932
114473,1,198,0,8,1988
54154,0,181,1,9,1819
39189,1,209,1,2,2092
99952,0,190,0,6,1906
97558,0,191,1,9,1919
1215,1,181,1,2,1812
63232,0,207,1,7,2077
109838,0,216,0,6,2166
140441,0,219,1,7,2197
8404,1,218,0,8,2188
97004,0,216,0,6,2166
102815,0,195,1,7,1957
102973,0,211,1,7,2117
38085,0,219,1,7,2197
115990,0,190,0,6,1906
59631,0,208,0,6,2086
46877,0,216,0,6,2166
48256,1,193,1,2,1932
137033,0,199,1,7,1997
89282,1,206,0,8,2068
85806,0,219,1,7,2197
71397,0,181,1,9,1819
56015,1,207,1,2,2072
67137,0,197,1,7,1977
2217,1,201,1,2,2012
38067,0,217,1,7,2177
70321,0,194,0,6,1946
47992,0,207,1,7,2077
103912,0,185,1,9,1859
139931,0,208,0,6,2086
79132,0,193,1,7,1937
16178,0,193,1,7,1937
42352,0,204,0,6,2046
39916,0,201,1,7,2017
131460,0,213,1,7,2137
29267,0,219,1,7,2197
9307,1,188,0,8,1888
57273,0,213,1,7,2137
2077,1,187,1,2,1872
82175,0,217,1,7,2177
114469,1,198,0,8,1988
115220,0,193,1,7,1937
20464,0,181,1,9,1819
102703,0,184,0,6,1846
95596,0,195,1,7,1957
26925,0,185,1,9,1859
50852,0,212,0,6,2126
50825,0,209,1,7,2097
93527,0,189,1,9,1899
26858,1,219,1,2,2192
94633,0,219,1,7,2197
1071,0,206,0,6,2066
40276,1,197,1,2,1972
144980,0,192,0,6,1926
108052,0,198,0,6,1986
80984,0,218,0,6,2186
139560,1,211,1,2,2112
36115,0,182,0,6,1826
27029,0,196,0,6,1966
76580,0,219,1,7,2197
59776,0,182,0,6,1826
113560,0,187,1,9,1879
144329,0,207,1,7,2077
21202,0,215,1,7,2157
61244,1,209,1,2,2092
56353,0,201,1,7,2017
23231,0,217,1,7,2177
108382,1,191,1,2,1912
10453,0,182,0,6,1826
96855,0,201,1,7,2017
58438,0,209,1,7,2097
120546,0,204,0,6,2046
2758,1,215,1,2,2152
23438,1,198,0,8,1988
144625,1,196,0,8,1968
121070,0,216,0,6,2166
52882,0,215,1,7,2157
130041,0,191,1,9,1919
123687,0,197,1,7,1977
112383,0,190,0,6,1906
141840,0,199,1,7,1997
91720,1,209,1,2,2092
128446,0,192,0,6,1926
51941,1,201,1,2,2012
55068,0,193,1,7,1937
37157,0,206,0,6,2066
25528,0,206,0,6,2066
65865,0,190,0,6,1906
25774,0,191,1,9,1919
62279,1,192,0,8,1928
36486,1,219,1,2,2192
60579,1,182,0,8,1828
79959,1,196,0,8,1968
33562,0,207,1,7,2077
121970,0,186,0,6,1866
146309,1,204,0,8,2048
142563,0,191,1,9,1919
32791,0,211,1,7,2117
25892,1,202,0,8,2028
91325,0,209,1,7,2097
134960,1,202,0,8,2028
93627,0,199,1,7,1997
116502,1,201,1,2,2012
133953,0,181,1,9,1819
36415,0,212,0,6,2126
16209,0,196,0,6,1966
4773,0,216,0,6,2166
33181,0,209,1,7,2097
140040,0,219,1,7,2197
77846,1,185,1,2,1852
56114,0,217,1,7,2177
8132,1,191,1,2,1912
63409,0,185,1,9,1859
7727,1,190,0,8,1908
79973,0,197,1,7,1977
130701,1,217,1,2,2172
52719,1,198,0,8,1988
11449,0,202,0,6,2026
77001,0,180,0,6,1806
132906,0,197,1,7,1977
29854,1,198,0,8,1988
35884,0,199,1,7,1997
142127,1,187,1,2,1872
75572,1,198,0,8,1988
132283,0,215,1,7,2157
144582,0,192,0,6,1926
107193,0,192,0,6,1926
60907,1,215,1,2,2152
48067,1,214,0,8,2148
100176,0,212,0,6,2126
48872,0,215,1,7,2157
8749,1,212,0,8,2128
62588,1,183,1,2,1832
121927,0,182,0,6,1826
127827,0,210,0,6,2106
79159,0,196,0,6,1966
68577,0,180,0,6,1806
98969,0,212,0,6,2126
55934,0,199,1,7,1997
34407,0,212,0,6,2126
63955,1,199,1,2,1992
21784,0,193,1,7,1937
101433,0,218,0,6,2186
94952,1,211,1,2,2112
139675,0,183,1,9,1839
64849,1,208,0,8,2088
82603,0,219,1,7,2197
1323,1,192,0,8,1928
522,0,192,0,6,1926
86798,0,198,0,6,1986
85022,0,181,1,9,1819
11325,0,189,1,9,1899
96368,1,192,0,8,1928
115624,1,193,1,2,1932
90031,0,200,0,6,2006
92601,0,217,1,7,2177
10391,0,216,0,6,2166
99065,0,181,1,9,1819
20392,0,214,0,6,2146
108555,0,208,0,6,2086
30757,0,208,0,6,2086
13901,0,206,0,6,2066
62766,0,201,1,7,2017
122055,0,195,1,7,1957
75929,1,194,0,8,1948
47441,0,192,0,6,1926
76832,0,204,0,6,2046
131515,1,218,0,8,2188
64173,0,181,1,9,1819
88061,0,204,0,6,2046
39260,0,216,0,6,2166
13914,1,208,0,8,2088
63706,1,214,0,8,2148
121783,1,208,0,8,2088
33321,0,183,1,9,1839
55386,1,184,0,8,1848
142677,0,202,0,6,2026
58468,0,212,0,6,2126
23626,1,216,0,8,2168
72767,0,198,0,6,1986
123583,0,187,1,9,1879
64291,0,193,1,7,1937
119739,0,204,0,6,2046
83731,0,212,0,6,2126
127528,0,181,1,9,1819
39377,0,187,1,9,1879
143241,1,218,0,8,2188
102743,0,188,0,6,1886
23468,0,201,1,7,2017
123316,0,200,0,6,2006
67813,1,184,0,8,1848
71428,0,185,1,9,1859
121535,1,183,1,2,1832
86218,0,180,0,6,1806
134452,0,191,1,9,1919
71920,0,194,0,6,1946
6677,0,206,0,6,2066
100725,0,187,1,9,1879
39425,0,192,0,6,1926
122971,0,206,0,6,2066
61798,1,184,0,8,1848
25164,0,210,0,6,2106
17929,0,208,0,6,2086
136792,0,215,1,7,2157
128305,0,218,0,6,2186
51236,0,210,0,6,2106
95665,0,202,0,6,2026
135116,1,218,0,8,2188
134282,1,214,0,8,2148
125913,0,220,0,6,2206
119793,0,209,1,7,2097
128493,0,197,1,7,1977
53695,0,216,0,6,2166
53055,0,192,0,6,1926
73749,0,216,0,6,2166
59275,1,212,0,8,2128
104086,0,202,0,6,2026
49442,0,191,1,9,1919
107988,0,191,1,9,1919
102819,0,196,0,6,1966
75011,1,182,0,8,1828
50897,0,217,1,7,2177
101235,0,198,0,6,1986
78174,1,218,0,8,2188
59658,0,211,1,7,2117
53059,0,192,0,6,1926
85227,0,201,1,7,2017
113512,0,182,0,6,1826
101025,0,217,1,7,2177
48754,0,203,1,7,2037
6683,0,206,0,6,2066
108240,0,217,1,7,2177
88519,0,209,1,7,2097
94026,1,199,1,2,1992
86272,0,185,1,9,1859
144209,0,195,1,7,1957
122965,0,205,1,7,2057
121532,0,182,0,6,1826
85679,0,206,0,6,2066
119344,0,204,0,6,2046
85357,0,214,0,6,2146
145251,0,219,1,7,2197
51188,0,206,0,6,2066
128010,0,189,1,9,1899
248,1,204,0,8,2048
18653,0,200,0,6,2006
100976,0,212,0,6,2126
128397,0,187,1,9,1879
110779,0,190,0,6,1906
74333,1,194,0,8,1948
75362,0,217,1,7,2177
136357,0,212,0,6,2126
84263,0,185,1,9,1859
108417,0,194,0,6,1946
142301,0,205,1,7,2057
111274,0,199,1,7,1997
120824,0,192,0,6,1926
12512,0,188,0,6,1886
127176,0,185,1,9,1859
118054,1,196,0,8,1968
66272,0,190,0,6,1906
139666,0,182,0,6,1826
129572,0,184,0,6,1846
101295,0,204,0,6,2046
21049,0,199,1,7,1997
5078,0,206,0,6,2066
68736,0,196,0,6,1966
96140,0,210,0,6,2106
53312,1,218,0,8,2188
125270,0,195,1,7,1957
50703,0,197,1,7,1977
96620,1,218,0,8,2188
54912,1,217,1,2,2172
112810,0,192,0,6,1926
139121,0,207,1,7,2077
127855,0,213,1,7,2137
55751,1,181,1,2,1812
103811,0,215,1,7,2157
108758,0,188,0,6,1886
59724,1,217,1,2,2172
102109,0,205,1,7,2057
90795,0,196,0,6,1966
78147,0,215,1,7,2157
54682,0,194,0,6,1946
114571,0,208,0,6,2086
57938,0,199,1,7,1997
117418,0,212,0,6,2126
56573,1,183,1,2,1832
25811,0,194,0,6,1946
25960,1,209,1,2,2092
105484,0,182,0,6,1826
98909,0,206,0,6,2066
110695,0,181,1,9,1819
14665,0,202,0,6,2026
30434,0,215,1,7,2157
21786,1,193,1,2,1932
44592,0,188,0,6,1886
65878,0,191,1,9,1919
97035,0,219,1,7,2197
